Name,mpg,cylinders,horsepower,weight,acceleration,year,origin
1,18,8,130,3504,12,70,1
2,15,8,165,3693,11.5,70,1
3,18,8,150,3436,11,70,1
4,16,8,150,3433,12,70,1
5,17,8,140,3449,10.5,70,1
6,15,8,198,4341,10,70,1
7,14,8,220,4354,9,70,1
8,14,8,215,4312,8.5,70,1
9,14,8,225,4425,10,70,1
10,15,8,190,3850,8.5,70,1
11,,4,115,3090,17.5,70,2
12,,8,165,4142,11.5,70,1
13,,8,153,4034,11,70,1
14,,8,175,4166,10.5,70,1
15,,8,175,3850,11,70,1
16,15,8,170,3563,10,70,1
17,14,8,160,3609,8,70,1
18,,8,140,3353,8,70,1
19,15,8,150,3761,9.5,70,1
20,14,8,225,3086,10,70,1
21,24,4,95,2372,15,70,3
22,22,6,95,2833,15.5,70,1
23,18,6,97,2774,15.5,70,1
24,21,6,85,2587,16,70,1
25,27,4,88,2130,14.5,70,3
26,26,4,46,1835,20.5,70,2
27,25,4,87,2672,17.5,70,2
28,24,4,90,2430,14.5,70,2
29,25,4,95,2375,17.5,70,2
30,26,4,113,2234,12.5,70,2
31,21,6,90,2648,15,70,1
32,10,8,215,4615,14,70,1
33,10,8,200,4376,15,70,1
34,11,8,210,4382,13.5,70,1
35,9,8,193,4732,18.5,70,1
36,27,4,88,2130,14.5,71,3
37,28,4,90,2264,15.5,71,1
38,25,4,95,2228,14,71,3
39,25,4,,2046,19,71,1
40,,4,48,1978,20,71,2
41,19,6,100,2634,13,71,1
42,16,6,105,3439,15.5,71,1
43,17,6,100,3329,15.5,71,1
44,19,6,88,3302,15.5,71,1
45,18,6,100,3288,15.5,71,1
46,14,8,165,4209,12,71,1
47,14,8,175,4464,11.5,71,1
48,14,8,153,4154,13.5,71,1
49,14,8,150,4096,13,71,1
50,12,8,180,4955,11.5,71,1
51,13,8,170,4746,12,71,1
52,13,8,175,5140,12,71,1
53,18,6,110,2962,13.5,71,1
54,22,4,72,2408,19,71,1
55,19,6,100,3282,15,71,1
56,18,6,88,3139,14.5,71,1
57,23,4,86,2220,14,71,1
58,28,4,90,2123,14,71,2
59,30,4,70,2074,19.5,71,2
60,30,4,76,2065,14.5,71,2
61,31,4,65,1773,19,71,3
62,35,4,69,1613,18,71,3
63,27,4,60,1834,19,71,2
64,26,4,70,1955,20.5,71,1
65,24,4,95,2278,15.5,72,3
66,25,4,80,2126,17,72,1
67,23,4,54,2254,23.5,72,2
68,20,4,90,2408,19.5,72,1
69,21,4,86,2226,16.5,72,1
70,13,8,165,4274,12,72,1
71,14,8,175,4385,12,72,1
72,15,8,150,4135,13.5,72,1
73,14,8,153,4129,13,72,1
74,17,8,150,3672,11.5,72,1
75,11,8,208,4633,11,72,1
76,13,8,155,4502,13.5,72,1
77,12,8,160,4456,13.5,72,1
78,13,8,190,4422,12.5,72,1
79,19,3,97,2330,13.5,72,3
80,15,8,150,3892,12.5,72,1
81,13,8,130,4098,14,72,1
82,13,8,140,4294,16,72,1
83,14,8,150,4077,14,72,1
84,18,4,112,2933,14.5,72,2
85,22,4,76,2511,18,72,2
86,21,4,87,2979,19.5,72,2
87,26,4,69,2189,18,72,2
88,22,4,86,2395,16,72,1
89,28,4,92,2288,17,72,3
90,23,4,97,2506,14.5,72,3
91,28,4,80,2164,15,72,1
92,27,4,88,2100,16.5,72,3
93,13,8,175,4100,13,73,1
94,14,8,150,3672,11.5,73,1
95,13,8,145,3988,13,73,1
96,14,8,137,4042,14.5,73,1
97,15,8,150,3777,12.5,73,1
98,12,8,198,4952,11.5,73,1
99,13,8,150,4464,12,73,1
100,13,8,158,4363,13,73,1
101,14,8,150,4237,14.5,73,1
102,13,8,215,4735,11,73,1
103,12,8,225,4951,11,73,1
104,13,8,175,3821,11,73,1
105,18,6,105,3121,16.5,73,1
106,16,6,100,3278,18,73,1
107,18,6,100,2945,16,73,1
108,18,6,88,3021,16.5,73,1
109,23,6,95,2904,16,73,1
110,26,4,46,1950,21,73,2
111,11,8,150,4997,14,73,1
112,12,8,167,4906,12.5,73,1
113,13,8,170,4654,13,73,1
114,12,8,180,4499,12.5,73,1
115,18,6,100,2789,15,73,1
116,20,4,88,2279,19,73,3
117,21,4,72,2401,19.5,73,1
118,22,4,94,2379,16.5,73,3
119,18,3,90,2124,13.5,73,3
120,19,4,85,2310,18.5,73,1
121,21,6,107,2472,14,73,1
122,26,4,90,2265,15.5,73,2
123,15,8,145,4082,13,73,1
124,16,8,230,4278,9.5,73,1
125,29,4,49,1867,19.5,73,2
126,24,4,75,2158,15.5,73,2
127,20,4,91,2582,14,73,2
128,19,4,112,2868,15.5,73,2
129,15,8,150,3399,11,73,1
130,24,4,110,2660,14,73,2
131,20,6,122,2807,13.5,73,3
132,11,8,180,3664,11,73,1
133,20,6,95,3102,16.5,74,1
134,21,6,,2875,17,74,1
135,19,6,100,2901,16,74,1
136,15,6,100,3336,17,74,1
137,31,4,67,1950,19,74,3
138,26,4,80,2451,16.5,74,1
139,32,4,65,1836,21,74,3
140,25,4,75,2542,17,74,1
141,16,6,100,3781,17,74,1
142,16,6,110,3632,18,74,1
143,18,6,105,3613,16.5,74,1
144,16,8,140,4141,14,74,1
145,13,8,150,4699,14.5,74,1
146,14,8,150,4457,13.5,74,1
147,14,8,140,4638,16,74,1
148,14,8,150,4257,15.5,74,1
149,29,4,83,2219,16.5,74,2
150,26,4,67,1963,15.5,74,2
151,26,4,78,2300,14.5,74,2
152,31,4,52,1649,16.5,74,3
153,32,4,61,2003,19,74,3
154,28,4,75,2125,14.5,74,1
155,24,4,75,2108,15.5,74,2
156,26,4,75,2246,14,74,2
157,24,4,97,2489,15,74,3
158,26,4,93,2391,15.5,74,3
159,31,4,67,2000,16,74,2
160,19,6,95,3264,16,75,1
161,18,6,105,3459,16,75,1
162,15,6,72,3432,21,75,1
163,15,6,72,3158,19.5,75,1
164,16,8,170,4668,11.5,75,1
165,15,8,145,4440,14,75,1
166,16,8,150,4498,14.5,75,1
167,14,8,148,4657,13.5,75,1
168,17,6,110,3907,21,75,1
169,16,6,105,3897,18.5,75,1
170,15,6,110,3730,19,75,1
171,18,6,95,3785,19,75,1
172,21,6,110,3039,15,75,1
173,20,8,110,3221,13.5,75,1
174,13,8,129,3169,12,75,1
175,29,4,75,2171,16,75,3
176,23,4,83,2639,17,75,1
177,20,6,100,2914,16,75,1
178,23,4,78,2592,18.5,75,1
179,24,4,96,2702,13.5,75,3
180,25,4,71,2223,16.5,75,2
181,24,4,97,2545,17,75,3
182,18,6,97,2984,14.5,75,1
183,29,4,70,1937,14,75,2
184,19,6,90,3211,17,75,1
185,23,4,95,2694,15,75,2
186,23,4,88,2957,17,75,2
187,22,4,98,2945,14.5,75,2
188,25,4,115,2671,13.5,75,2
189,33,4,53,1795,17.5,75,3
190,28,4,86,2464,15.5,76,2
191,25,4,81,2220,16.9,76,2
192,25,4,92,2572,14.9,76,1
193,26,4,79,2255,17.7,76,1
194,27,4,83,2202,15.3,76,2
195,17.5,8,140,4215,13,76,1
196,16,8,150,4190,13,76,1
197,15.5,8,120,3962,13.9,76,1
198,14.5,8,152,4215,12.8,76,1
199,22,6,100,3233,15.4,76,1
200,22,6,105,3353,14.5,76,1
201,24,6,81,3012,17.6,76,1
202,22.5,6,90,3085,17.6,76,1
203,29,4,52,2035,22.2,76,1
204,24.5,4,60,2164,22.1,76,1
205,29,4,70,1937,14.2,76,2
206,33,4,53,1795,17.4,76,3
207,20,6,100,3651,17.7,76,1
208,18,6,78,3574,21,76,1
209,18.5,6,110,3645,16.2,76,1
210,17.5,6,95,3193,17.8,76,1
211,29.5,4,71,1825,12.2,76,2
212,32,4,70,1990,17,76,3
213,28,4,75,2155,16.4,76,3
214,26.5,4,72,2565,13.6,76,1
215,20,4,102,3150,15.7,76,2
216,13,8,150,3940,13.2,76,1
217,19,4,88,3270,21.9,76,2
218,19,6,108,2930,15.5,76,3
219,16.5,6,120,3820,16.7,76,2
220,16.5,8,180,4380,12.1,76,1
221,13,8,145,4055,12,76,1
222,13,8,130,3870,15,76,1
223,13,8,150,3755,14,76,1
224,31.5,4,68,2045,18.5,77,3
225,30,4,80,2155,14.8,77,1
226,36,4,58,1825,18.6,77,2
227,25.5,4,96,2300,15.5,77,1
228,33.5,4,70,1945,16.8,77,3
229,17.5,8,145,3880,12.5,77,1
230,17,8,110,4060,19,77,1
231,15.5,8,145,4140,13.7,77,1
232,15,8,130,4295,14.9,77,1
233,17.5,6,110,3520,16.4,77,1
234,20.5,6,105,3425,16.9,77,1
235,19,6,100,3630,17.7,77,1
236,18.5,6,98,3525,19,77,1
237,16,8,180,4220,11.1,77,1
238,15.5,8,170,4165,11.4,77,1
239,15.5,8,190,4325,12.2,77,1
240,16,8,149,4335,14.5,77,1
241,29,4,78,1940,14.5,77,2
242,24.5,4,88,2740,16,77,1
243,26,4,75,2265,18.2,77,3
244,25.5,4,89,2755,15.8,77,1
245,30.5,4,63,2051,17,77,1
246,33.5,4,83,2075,15.9,77,1
247,30,4,67,1985,16.4,77,3
248,30.5,4,78,2190,14.1,77,2
249,22,6,97,2815,14.5,77,3
250,21.5,4,110,2600,12.8,77,2
251,21.5,3,110,2720,13.5,77,3
252,43.1,4,48,1985,21.5,78,2
253,36.1,4,66,1800,14.4,78,1
254,32.8,4,52,1985,19.4,78,3
255,39.4,4,70,2070,18.6,78,3
256,36.1,4,60,1800,16.4,78,3
257,19.9,8,110,3365,15.5,78,1
258,19.4,8,140,3735,13.2,78,1
259,20.2,8,139,3570,12.8,78,1
260,19.2,6,105,3535,19.2,78,1
261,20.5,6,95,3155,18.2,78,1
262,20.2,6,85,2965,15.8,78,1
263,25.1,4,88,2720,15.4,78,1
264,20.5,6,100,3430,17.2,78,1
265,19.4,6,90,3210,17.2,78,1
266,20.6,6,105,3380,15.8,78,1
267,20.8,6,85,3070,16.7,78,1
268,18.6,6,110,3620,18.7,78,1
269,18.1,6,120,3410,15.1,78,1
270,19.2,8,145,3425,13.2,78,1
271,17.7,6,165,3445,13.4,78,1
272,18.1,8,139,3205,11.2,78,1
273,17.5,8,140,4080,13.7,78,1
274,30,4,68,2155,16.5,78,1
275,27.5,4,95,2560,14.2,78,3
276,27.2,4,97,2300,14.7,78,3
277,30.9,4,75,2230,14.5,78,1
278,21.1,4,95,2515,14.8,78,3
279,23.2,4,105,2745,16.7,78,1
280,23.8,4,85,2855,17.6,78,1
281,23.9,4,97,2405,14.9,78,3
282,20.3,5,103,2830,15.9,78,2
283,17,6,125,3140,13.6,78,2
284,21.6,4,115,2795,15.7,78,2
285,16.2,6,133,3410,15.8,78,2
286,31.5,4,71,1990,14.9,78,2
287,29.5,4,68,2135,16.6,78,3
288,21.5,6,115,3245,15.4,79,1
289,19.8,6,85,2990,18.2,79,1
290,22.3,4,88,2890,17.3,79,1
291,20.2,6,90,3265,18.2,79,1
292,20.6,6,110,3360,16.6,79,1
293,17,8,130,3840,15.4,79,1
294,17.6,8,129,3725,13.4,79,1
295,16.5,8,138,3955,13.2,79,1
296,18.2,8,135,3830,15.2,79,1
297,16.9,8,155,4360,14.9,79,1
298,15.5,8,142,4054,14.3,79,1
299,19.2,8,125,3605,15,79,1
300,18.5,8,150,3940,13,79,1
301,31.9,4,71,1925,14,79,2
302,34.1,4,65,1975,15.2,79,3
303,35.7,4,80,1915,14.4,79,1
304,27.4,4,80,2670,15,79,1
305,25.4,5,77,3530,20.1,79,2
306,23,8,125,3900,17.4,79,1
307,27.2,4,71,3190,24.8,79,2
308,23.9,8,90,3420,22.2,79,1
309,34.2,4,70,2200,13.2,79,1
310,34.5,4,70,2150,14.9,79,1
311,31.8,4,65,2020,19.2,79,3
312,37.3,4,69,2130,14.7,79,2
313,28.4,4,90,2670,16,79,1
314,28.8,6,115,2595,11.3,79,1
315,26.8,6,115,2700,12.9,79,1
316,33.5,4,90,2556,13.2,79,1
317,41.5,4,76,2144,14.7,80,2
318,38.1,4,60,1968,18.8,80,3
319,32.1,4,70,2120,15.5,80,1
320,37.2,4,65,2019,16.4,80,3
321,28,4,90,2678,16.5,80,1
322,26.4,4,88,2870,18.1,80,1
323,24.3,4,90,3003,20.1,80,1
324,19.1,6,90,3381,18.7,80,1
325,34.3,4,78,2188,15.8,80,2
326,29.8,4,90,2711,15.5,80,3
327,31.3,4,75,2542,17.5,80,3
328,37,4,92,2434,15,80,3
329,32.2,4,75,2265,15.2,80,3
330,46.6,4,65,2110,17.9,80,3
331,27.9,4,105,2800,14.4,80,1
332,40.8,4,65,2110,19.2,80,3
333,44.3,4,48,2085,21.7,80,2
334,43.4,4,48,2335,23.7,80,2
335,36.4,5,67,2950,19.9,80,2
336,30,4,67,3250,21.8,80,2
337,44.6,4,67,1850,13.8,80,3
338,40.9,4,,1835,17.3,80,2
339,33.8,4,67,2145,18,80,3
340,29.8,4,62,1845,15.3,80,2
341,32.7,6,132,2910,11.4,80,3
342,23.7,3,100,2420,12.5,80,3
343,35,4,88,2500,15.1,80,2
344,23.6,4,,2905,14.3,80,1
345,32.4,4,72,2290,17,80,3
346,27.2,4,84,2490,15.7,81,1
347,26.6,4,84,2635,16.4,81,1
348,25.8,4,92,2620,14.4,81,1
349,23.5,6,110,2725,12.6,81,1
350,30,4,84,2385,12.9,81,1
351,39.1,4,58,1755,16.9,81,3
352,39,4,64,1875,16.4,81,1
353,35.1,4,60,1760,16.1,81,3
354,32.3,4,67,2065,17.8,81,3
355,37,4,65,1975,19.4,81,3
356,37.7,4,62,2050,17.3,81,3
357,34.1,4,68,1985,16,81,3
358,34.7,4,63,2215,14.9,81,1
359,34.4,4,65,2045,16.2,81,1
360,29.9,4,65,2380,20.7,81,1
361,33,4,74,2190,14.2,81,2
362,34.5,4,,2320,15.8,81,2
363,33.7,4,75,2210,14.4,81,3
364,32.4,4,75,2350,16.8,81,3
365,32.9,4,100,2615,14.8,81,3
366,31.6,4,74,2635,18.3,81,3
367,28.1,4,80,3230,20.4,81,2
368,,4,110,2800,15.4,81,2
369,30.7,6,76,3160,19.6,81,2
370,25.4,6,116,2900,12.6,81,3
371,24.2,6,120,2930,13.8,81,3
372,22.4,6,110,3415,15.8,81,1
373,26.6,8,105,3725,19,81,1
374,20.2,6,88,3060,17.1,81,1
375,17.6,6,85,3465,16.6,81,1
376,28,4,88,2605,19.6,82,1
377,27,4,88,2640,18.6,82,1
378,34,4,88,2395,18,82,1
379,31,4,85,2575,16.2,82,1
380,29,4,84,2525,16,82,1
381,27,4,90,2735,18,82,1
382,24,4,92,2865,16.4,82,1
383,23,4,,3035,20.5,82,1
384,36,4,74,1980,15.3,82,2
385,37,4,68,2025,18.2,82,3
386,31,4,68,1970,17.6,82,3
387,38,4,63,2125,14.7,82,1
388,36,4,70,2125,17.3,82,1
389,36,4,88,2160,14.5,82,3
390,36,4,75,2205,14.5,82,3
391,34,4,70,2245,16.9,82,3
392,38,4,67,1965,15,82,3
393,32,4,67,1965,15.7,82,3
394,38,4,67,1995,16.2,82,3
395,25,6,110,2945,16.4,82,1
396,38,6,85,3015,17,82,1
397,26,4,92,2585,14.5,82,1
398,22,6,112,2835,14.7,82,1
399,32,4,96,2665,13.9,82,3
400,36,4,84,2370,13,82,1
401,27,4,90,2950,17.3,82,1
402,27,4,86,2790,15.6,82,1
403,44,4,52,2130,24.6,82,2
404,32,4,84,2295,11.6,82,1
405,28,4,79,2625,18.6,82,1
406,31,4,82,2720,19.4,82,1